Workout Type,Start,End,Duration,Active Energy (kcal),Resting Energy (kcal),Intensity (kcal/hr·kg),Max. Heart Rate (bpm),Avg. Heart Rate (bpm),Distance (km),Max. Speed (km/hr),Avg. Speed (km/hr),Flights Climbed,Elevation Ascended (m),Elevation Descended (m),Step Count,Step Cadence (spm),Swim Stroke Count,Swim Stroke Cadence (spm),Lap Length (km),Stroke Style,SWOLF Score,Water Salinity,Temperature (ºC),Humidity (%),Location,
Squash,2024-07-22 19:45,2024-07-22 20:38,00:52:55,228.4750000000005,62.200641550097465,4.747572024769468,0.0,0.0,0.703064122312935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,13.309999999997729,77.0,,
Run,2024-07-14 16:34,2024-07-14 17:54,01:20:03,648.0,94.77210667843659,0.0,0.0,0.0,4.287464978543622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Hiking,2024-07-14 16:37,2024-07-14 17:53,01:16:14,230.07200000000267,90.58673399382178,4.517614214429179,0.0,0.0,3.914482073177351,0.0,0.0,0.0,129.15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,11.229999999997744,66.0,,
Boxing,2024-07-10 21:35,2024-07-10 22:00,00:25:42,176.22300000000038,24.622878730514625,8.765972701743209,0.0,0.0,2.2669788248848635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Run,2024-07-06 14:53,2024-07-06 17:18,02:24:40,1171.0,170.05849953093264,0.0,0.0,0.0,8.145299504201915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Hiking,2024-07-06 14:54,2024-07-06 17:17,02:22:32,403.36600000000226,168.21397758310388,4.324268586437484,0.0,0.0,7.272361408417695,0.0,0.0,0.0,249.09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Boxing,2024-06-28 23:10,2024-06-28 23:57,00:36:09,227.7443076565899,49.45600000000003,7.3369899319934495,0.0,0.0,3.168538402043632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,13.419999999997742,53.0,,
Hiking,2024-06-23 15:46,2024-06-23 17:30,01:44:00,251.96800000000093,123.4318200454787,3.913311711683088,0.0,0.0,6.111290988971828,0.0,0.0,0.0,63.13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,13.679999999997733,55.00000000000001,,
Run,2024-06-23 15:46,2024-06-23 17:27,01:40:59,859.0,118.82723950819914,0.0,0.0,0.0,6.160267185840345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Outdoor Walk,2024-06-12 21:08,2024-06-12 22:06,00:57:58,143.47005652582584,62.36084027534418,3.864231306665512,0.0,0.0,3.1016226519948105,0.0,0.0,0.0,71.67,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,9.789999999997747,76.0,Outdoor,
Boxing,2024-06-08 00:41,2024-06-08 01:18,00:36:30,193.03818307334322,37.459910387006275,6.2282780159464,0.0,0.0,2.5449998851484854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,9.459999999997706,96.0,,
Outdoor Run,2024-05-15 16:26,2024-05-15 16:56,00:29:51,123.81311551415389,29.390960618904654,5.712068013508834,0.0,0.0,2.3788410487983613,0.0,0.0,0.0,31.970000000000002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.729999999997688,56.00000000000001,Outdoor,
Elliptical,2024-05-14 22:43,2024-05-14 23:04,00:21:31,114.94256583158554,19.899640195329457,7.469118410891295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,10.939999999997724,82.0,,
